Day,Day_month,Month,Year,TSVALUE_UPDATED
12,12-Nov,Nov,1964,0
13,13-Nov,Nov,1964,0
14,14-Nov,Nov,1964,2
15,15-Nov,Nov,1964,4
16,16-Nov,Nov,1964,18
17,17-Nov,Nov,1964,15
18,18-Nov,Nov,1964,0
19,19-Nov,Nov,1964,0
20,20-Nov,Nov,1964,0
21,21-Nov,Nov,1964,0
22,22-Nov,Nov,1964,0
23,23-Nov,Nov,1964,0
24,24-Nov,Nov,1964,1
25,25-Nov,Nov,1964,0
26,26-Nov,Nov,1964,0
27,27-Nov,Nov,1964,0
28,28-Nov,Nov,1964,0
29,29-Nov,Nov,1964,0
30,30-Nov,Nov,1964,0
01,01-Dec,Dec,1964,0
02,02-Dec,Dec,1964,0
03,03-Dec,Dec,1964,0
04,04-Dec,Dec,1964,0
05,05-Dec,Dec,1964,0
06,06-Dec,Dec,1964,0
07,07-Dec,Dec,1964,0
08,08-Dec,Dec,1964,0
09,09-Dec,Dec,1964,0
10,10-Dec,Dec,1964,0
11,11-Dec,Dec,1964,0
12,12-Dec,Dec,1964,0
13,13-Dec,Dec,1964,0
14,14-Dec,Dec,1964,0
15,15-Dec,Dec,1964,0
16,16-Dec,Dec,1964,0
17,17-Dec,Dec,1964,0
18,18-Dec,Dec,1964,0
19,19-Dec,Dec,1964,0
20,20-Dec,Dec,1964,0
21,21-Dec,Dec,1964,0
22,22-Dec,Dec,1964,0
23,23-Dec,Dec,1964,0
24,24-Dec,Dec,1964,0
25,25-Dec,Dec,1964,0
26,26-Dec,Dec,1964,0
27,27-Dec,Dec,1964,0
28,28-Dec,Dec,1964,0
29,29-Dec,Dec,1964,0
30,30-Dec,Dec,1964,0
31,31-Dec,Dec,1964,0
01,01-Jan,Jan,1966,0
02,02-Jan,Jan,1966,0
03,03-Jan,Jan,1966,0
04,04-Jan,Jan,1966,6
05,05-Jan,Jan,1966,2
06,06-Jan,Jan,1966,0
07,07-Jan,Jan,1966,0
08,08-Jan,Jan,1966,0
09,09-Jan,Jan,1966,0
10,10-Jan,Jan,1966,0
11,11-Jan,Jan,1966,0
12,12-Jan,Jan,1966,0
13,13-Jan,Jan,1966,0
14,14-Jan,Jan,1966,0
15,15-Jan,Jan,1966,0
16,16-Jan,Jan,1966,0
17,17-Jan,Jan,1966,0
18,18-Jan,Jan,1966,0
19,19-Jan,Jan,1966,0
20,20-Jan,Jan,1966,0
21,21-Jan,Jan,1966,0
22,22-Jan,Jan,1966,0
23,23-Jan,Jan,1966,0
24,24-Jan,Jan,1966,0
25,25-Jan,Jan,1966,0
26,26-Jan,Jan,1966,0
27,27-Jan,Jan,1966,0
28,28-Jan,Jan,1966,0
29,29-Jan,Jan,1966,0
30,30-Jan,Jan,1966,0
31,31-Jan,Jan,1966,
01,01-Feb,Feb,1966,0
02,02-Feb,Feb,1966,0
03,03-Feb,Feb,1966,0
04,04-Feb,Feb,1966,0
05,05-Feb,Feb,1966,0
06,06-Feb,Feb,1966,0
07,07-Feb,Feb,1966,0
08,08-Feb,Feb,1966,0
09,09-Feb,Feb,1966,0
10,10-Feb,Feb,1966,0
11,11-Feb,Feb,1966,0
12,12-Feb,Feb,1966,0
13,13-Feb,Feb,1966,0
14,14-Feb,Feb,1966,0
15,15-Feb,Feb,1966,0
16,16-Feb,Feb,1966,0
17,17-Feb,Feb,1966,0
18,18-Feb,Feb,1966,0
19,19-Feb,Feb,1966,0
20,20-Feb,Feb,1966,0
21,21-Feb,Feb,1966,0
22,22-Feb,Feb,1966,0
23,23-Feb,Feb,1966,0
24,24-Feb,Feb,1966,0
25,25-Feb,Feb,1966,0
26,26-Feb,Feb,1966,0
27,27-Feb,Feb,1966,0
28,28-Feb,Feb,1966,0
01,01-Mar,Mar,1966,0
02,02-Mar,Mar,1966,0
03,03-Mar,Mar,1966,0
04,04-Mar,Mar,1966,0
05,05-Mar,Mar,1966,0
06,06-Mar,Mar,1966,0
07,07-Mar,Mar,1966,0
08,08-Mar,Mar,1966,0
09,09-Mar,Mar,1966,0
10,10-Mar,Mar,1966,0
11,11-Mar,Mar,1966,0
12,12-Mar,Mar,1966,0
13,13-Mar,Mar,1966,0
14,14-Mar,Mar,1966,0
15,15-Mar,Mar,1966,0
16,16-Mar,Mar,1966,0
17,17-Mar,Mar,1966,0
18,18-Mar,Mar,1966,0
19,19-Mar,Mar,1966,0
20,20-Mar,Mar,1966,0
21,21-Mar,Mar,1966,0
22,22-Mar,Mar,1966,0
23,23-Mar,Mar,1966,0
24,24-Mar,Mar,1966,0
25,25-Mar,Mar,1966,0
26,26-Mar,Mar,1966,0
27,27-Mar,Mar,1966,0
28,28-Mar,Mar,1966,0
29,29-Mar,Mar,1966,0
30,30-Mar,Mar,1966,0
31,31-Mar,Mar,1966,0
01,01-Apr,Apr,1966,0
02,02-Apr,Apr,1966,0
03,03-Apr,Apr,1966,0
04,04-Apr,Apr,1966,0
05,05-Apr,Apr,1966,0
06,06-Apr,Apr,1966,0
07,07-Apr,Apr,1966,0
08,08-Apr,Apr,1966,0
09,09-Apr,Apr,1966,0
10,10-Apr,Apr,1966,0
11,11-Apr,Apr,1966,0
12,12-Apr,Apr,1966,0
13,13-Apr,Apr,1966,9
14,14-Apr,Apr,1966,0
15,15-Apr,Apr,1966,0
16,16-Apr,Apr,1966,1
17,17-Apr,Apr,1966,0
18,18-Apr,Apr,1966,0
19,19-Apr,Apr,1966,6
20,20-Apr,Apr,1966,0
21,21-Apr,Apr,1966,0
22,22-Apr,Apr,1966,1
23,23-Apr,Apr,1966,8
24,24-Apr,Apr,1966,0
25,25-Apr,Apr,1966,0
26,26-Apr,Apr,1966,0
27,27-Apr,Apr,1966,0
28,28-Apr,Apr,1966,0
29,29-Apr,Apr,1966,0
30,30-Apr,Apr,1966,0
01,01-May,May,1966,0
02,02-May,May,1966,0
03,03-May,May,1966,0
04,04-May,May,1966,0
05,05-May,May,1966,21
06,06-May,May,1966,40
07,07-May,May,1966,3
08,08-May,May,1966,0
09,09-May,May,1966,0
10,10-May,May,1966,25
11,11-May,May,1966,0
12,12-May,May,1966,0
13,13-May,May,1966,0
14,14-May,May,1966,0
15,15-May,May,1966,0
16,16-May,May,1966,0
17,17-May,May,1966,0
18,18-May,May,1966,0
19,19-May,May,1966,0
20,20-May,May,1966,0
21,21-May,May,1966,0
22,22-May,May,1966,0
23,23-May,May,1966,0
24,24-May,May,1966,0
25,25-May,May,1966,32
26,26-May,May,1966,0
27,27-May,May,1966,0
28,28-May,May,1966,4
29,29-May,May,1966,3
30,30-May,May,1966,0
31,31-May,May,1966,0
01,01-Jun,Jun,1966,0
02,02-Jun,Jun,1966,0
03,03-Jun,Jun,1966,8
04,04-Jun,Jun,1966,32
05,05-Jun,Jun,1966,6
06,06-Jun,Jun,1966,0
07,07-Jun,Jun,1966,0
08,08-Jun,Jun,1966,0
09,09-Jun,Jun,1966,0
10,10-Jun,Jun,1966,0
11,11-Jun,Jun,1966,0
12,12-Jun,Jun,1966,0
13,13-Jun,Jun,1966,0
14,14-Jun,Jun,1966,0
15,15-Jun,Jun,1966,0
16,16-Jun,Jun,1966,13
17,17-Jun,Jun,1966,13
18,18-Jun,Jun,1966,52
19,19-Jun,Jun,1966,52
20,20-Jun,Jun,1966,45
21,21-Jun,Jun,1966,11
22,22-Jun,Jun,1966,28
23,23-Jun,Jun,1966,40
24,24-Jun,Jun,1966,7
25,25-Jun,Jun,1966,10
26,26-Jun,Jun,1966,14
27,27-Jun,Jun,1966,6
28,28-Jun,Jun,1966,0
29,29-Jun,Jun,1966,3
30,30-Jun,Jun,1966,14
01,01-Jul,Jul,1966,29
02,02-Jul,Jul,1966,3
03,03-Jul,Jul,1966,5
04,04-Jul,Jul,1966,22
05,05-Jul,Jul,1966,0
06,06-Jul,Jul,1966,52
07,07-Jul,Jul,1966,1
08,08-Jul,Jul,1966,18
09,09-Jul,Jul,1966,0
10,10-Jul,Jul,1966,0
11,11-Jul,Jul,1966,0
12,12-Jul,Jul,1966,0
13,13-Jul,Jul,1966,0
14,14-Jul,Jul,1966,0
15,15-Jul,Jul,1966,0
16,16-Jul,Jul,1966,3
17,17-Jul,Jul,1966,0
18,18-Jul,Jul,1966,0
19,19-Jul,Jul,1966,0
20,20-Jul,Jul,1966,25
21,21-Jul,Jul,1966,2
22,22-Jul,Jul,1966,1
23,23-Jul,Jul,1966,0
24,24-Jul,Jul,1966,2
25,25-Jul,Jul,1966,3
26,26-Jul,Jul,1966,0
27,27-Jul,Jul,1966,13
28,28-Jul,Jul,1966,0
29,29-Jul,Jul,1966,0
30,30-Jul,Jul,1966,52
31,31-Jul,Jul,1966,7
01,01-Aug,Aug,1966,8
02,02-Aug,Aug,1966,2
03,03-Aug,Aug,1966,2
04,04-Aug,Aug,1966,28
05,05-Aug,Aug,1966,0
06,06-Aug,Aug,1966,10
07,07-Aug,Aug,1966,12
08,08-Aug,Aug,1966,0
09,09-Aug,Aug,1966,78
10,10-Aug,Aug,1966,0
11,11-Aug,Aug,1966,0
12,12-Aug,Aug,1966,2
13,13-Aug,Aug,1966,0
14,14-Aug,Aug,1966,0
15,15-Aug,Aug,1966,1
16,16-Aug,Aug,1966,21
17,17-Aug,Aug,1966,29
18,18-Aug,Aug,1966,2
19,19-Aug,Aug,1966,3
20,20-Aug,Aug,1966,3
21,21-Aug,Aug,1966,0
22,22-Aug,Aug,1966,11
23,23-Aug,Aug,1966,0
24,24-Aug,Aug,1966,39
25,25-Aug,Aug,1966,23
26,26-Aug,Aug,1966,2
27,27-Aug,Aug,1966,22
28,28-Aug,Aug,1966,0
29,29-Aug,Aug,1966,0
30,30-Aug,Aug,1966,10
31,31-Aug,Aug,1966,9
01,01-Sep,Sep,1966,0
02,02-Sep,Sep,1966,0
03,03-Sep,Sep,1966,0
04,04-Sep,Sep,1966,0
05,05-Sep,Sep,1966,3
06,06-Sep,Sep,1966,0
07,07-Sep,Sep,1966,0
08,08-Sep,Sep,1966,35
09,09-Sep,Sep,1966,11
10,10-Sep,Sep,1966,0
11,11-Sep,Sep,1966,31
12,12-Sep,Sep,1966,17
13,13-Sep,Sep,1966,2
14,14-Sep,Sep,1966,57
15,15-Sep,Sep,1966,83
16,16-Sep,Sep,1966,319
17,17-Sep,Sep,1966,28
18,18-Sep,Sep,1966,0
19,19-Sep,Sep,1966,0
20,20-Sep,Sep,1966,2
21,21-Sep,Sep,1966,0
22,22-Sep,Sep,1966,0
23,23-Sep,Sep,1966,0
24,24-Sep,Sep,1966,0
25,25-Sep,Sep,1966,0
26,26-Sep,Sep,1966,0
27,27-Sep,Sep,1966,0
28,28-Sep,Sep,1966,0
29,29-Sep,Sep,1966,0
30,30-Sep,Sep,1966,0
01,01-Oct,Oct,1966,48
02,02-Oct,Oct,1966,10
03,03-Oct,Oct,1966,25
04,04-Oct,Oct,1966,14
05,05-Oct,Oct,1966,0
06,06-Oct,Oct,1966,0
07,07-Oct,Oct,1966,0
08,08-Oct,Oct,1966,0
09,09-Oct,Oct,1966,0
10,10-Oct,Oct,1966,0
11,11-Oct,Oct,1966,0
12,12-Oct,Oct,1966,0
13,13-Oct,Oct,1966,49
14,14-Oct,Oct,1966,37
15,15-Oct,Oct,1966,29
16,16-Oct,Oct,1966,7
17,17-Oct,Oct,1966,0
18,18-Oct,Oct,1966,0
19,19-Oct,Oct,1966,0
20,20-Oct,Oct,1966,0
21,21-Oct,Oct,1966,0
22,22-Oct,Oct,1966,0
23,23-Oct,Oct,1966,0
24,24-Oct,Oct,1966,0
25,25-Oct,Oct,1966,0
26,26-Oct,Oct,1966,0
27,27-Oct,Oct,1966,0
28,28-Oct,Oct,1966,0
29,29-Oct,Oct,1966,0
30,30-Oct,Oct,1966,0
31,31-Oct,Oct,1966,0
01,01-Nov,Nov,1966,0
02,02-Nov,Nov,1966,0
03,03-Nov,Nov,1966,0
04,04-Nov,Nov,1966,0
05,05-Nov,Nov,1966,0
06,06-Nov,Nov,1966,0
07,07-Nov,Nov,1966,0
