Day,Day_month,Month,Year,TSVALUE_UPDATED
9,9-Jun,Jun,1979,7
10,10-Jun,Jun,1979,4
11,11-Jun,Jun,1979,12
12,12-Jun,Jun,1979,0
13,13-Jun,Jun,1979,3
14,14-Jun,Jun,1979,4
15,15-Jun,Jun,1979,7
16,16-Jun,Jun,1979,6
17,17-Jun,Jun,1979,5
18,18-Jun,Jun,1979,0
19,19-Jun,Jun,1979,0
20,20-Jun,Jun,1979,0
21,21-Jun,Jun,1979,0
22,22-Jun,Jun,1979,0
23,23-Jun,Jun,1979,1
24,24-Jun,Jun,1979,0
25,25-Jun,Jun,1979,0
26,26-Jun,Jun,1979,1
27,27-Jun,Jun,1979,1
28,28-Jun,Jun,1979,3
29,29-Jun,Jun,1979,11
30,30-Jun,Jun,1979,12
1,1-Jul,Jul,1979,21
2,2-Jul,Jul,1979,20
3,3-Jul,Jul,1979,0
4,4-Jul,Jul,1979,10
5,5-Jul,Jul,1979,5
6,6-Jul,Jul,1979,13
7,7-Jul,Jul,1979,1
8,8-Jul,Jul,1979,0
9,9-Jul,Jul,1979,1
10,10-Jul,Jul,1979,0
11,11-Jul,Jul,1979,0
12,12-Jul,Jul,1979,0
13,13-Jul,Jul,1979,0
14,14-Jul,Jul,1979,9
15,15-Jul,Jul,1979,4
16,16-Jul,Jul,1979,6
17,17-Jul,Jul,1979,4
18,18-Jul,Jul,1979,4
19,19-Jul,Jul,1979,0
20,20-Jul,Jul,1979,0
21,21-Jul,Jul,1979,1
22,22-Jul,Jul,1979,0
23,23-Jul,Jul,1979,0
24,24-Jul,Jul,1979,3
25,25-Jul,Jul,1979,0
26,26-Jul,Jul,1979,0
27,27-Jul,Jul,1979,1
28,28-Jul,Jul,1979,0
29,29-Jul,Jul,1979,0
30,30-Jul,Jul,1979,0
31,31-Jul,Jul,1979,1
1,1-Aug,Aug,1979,1
2,2-Aug,Aug,1979,0
3,3-Aug,Aug,1979,1
4,4-Aug,Aug,1979,1
5,5-Aug,Aug,1979,1
6,6-Aug,Aug,1979,3
7,7-Aug,Aug,1979,8
8,8-Aug,Aug,1979,6
9,9-Aug,Aug,1979,6
10,10-Aug,Aug,1979,0
11,11-Aug,Aug,1979,0
12,12-Aug,Aug,1979,0
13,13-Aug,Aug,1979,1
14,14-Aug,Aug,1979,12
15,15-Aug,Aug,1979,9
16,16-Aug,Aug,1979,11
17,17-Aug,Aug,1979,18
18,18-Aug,Aug,1979,0
19,19-Aug,Aug,1979,2
20,20-Aug,Aug,1979,32
21,21-Aug,Aug,1979,20
22,22-Aug,Aug,1979,0
23,23-Aug,Aug,1979,0
24,24-Aug,Aug,1979,0
25,25-Aug,Aug,1979,0
26,26-Aug,Aug,1979,6
27,27-Aug,Aug,1979,6
28,28-Aug,Aug,1979,0
29,29-Aug,Aug,1979,0
30,30-Aug,Aug,1979,0
31,31-Aug,Aug,1979,1
1,1-Sep,Sep,1979,0
2,2-Sep,Sep,1979,0
3,3-Sep,Sep,1979,2
4,4-Sep,Sep,1979,8
5,5-Sep,Sep,1979,2
6,6-Sep,Sep,1979,3
7,7-Sep,Sep,1979,2
8,8-Sep,Sep,1979,0
9,9-Sep,Sep,1979,3
10,10-Sep,Sep,1979,7
11,11-Sep,Sep,1979,3
12,12-Sep,Sep,1979,13
13,13-Sep,Sep,1979,19
14,14-Sep,Sep,1979,0
15,15-Sep,Sep,1979,0
16,16-Sep,Sep,1979,3
17,17-Sep,Sep,1979,10
18,18-Sep,Sep,1979,0
19,19-Sep,Sep,1979,0
20,20-Sep,Sep,1979,0
21,21-Sep,Sep,1979,0
22,22-Sep,Sep,1979,0
23,23-Sep,Sep,1979,0
24,24-Sep,Sep,1979,0
25,25-Sep,Sep,1979,0
26,26-Sep,Sep,1979,0
27,27-Sep,Sep,1979,4
28,28-Sep,Sep,1979,2
29,29-Sep,Sep,1979,8
30,30-Sep,Sep,1979,0
1,1-Oct,Oct,1979,0
2,2-Oct,Oct,1979,0
3,3-Oct,Oct,1979,1
4,4-Oct,Oct,1979,0
5,5-Oct,Oct,1979,0
6,6-Oct,Oct,1979,3
7,7-Oct,Oct,1979,22
8,8-Oct,Oct,1979,0
9,9-Oct,Oct,1979,0
10,10-Oct,Oct,1979,0
11,11-Oct,Oct,1979,0
12,12-Oct,Oct,1979,0
13,13-Oct,Oct,1979,0
14,14-Oct,Oct,1979,0
15,15-Oct,Oct,1979,0
16,16-Oct,Oct,1979,0
17,17-Oct,Oct,1979,0
18,18-Oct,Oct,1979,0
19,19-Oct,Oct,1979,0
20,20-Oct,Oct,1979,0
21,21-Oct,Oct,1979,0
22,22-Oct,Oct,1979,0
23,23-Oct,Oct,1979,0
24,24-Oct,Oct,1979,0
25,25-Oct,Oct,1979,0
26,26-Oct,Oct,1979,0
27,27-Oct,Oct,1979,1
28,28-Oct,Oct,1979,0
29,29-Oct,Oct,1979,0
30,30-Oct,Oct,1979,0
31,31-Oct,Oct,1979,0
1,1-Nov,Nov,1979,0
2,2-Nov,Nov,1979,0
3,3-Nov,Nov,1979,0
4,4-Nov,Nov,1979,0
5,5-Nov,Nov,1979,0
6,6-Nov,Nov,1979,0
7,7-Nov,Nov,1979,0
8,8-Nov,Nov,1979,0
9,9-Nov,Nov,1979,0
10,10-Nov,Nov,1979,0
11,11-Nov,Nov,1979,0
12,12-Nov,Nov,1979,0
13,13-Nov,Nov,1979,0
14,14-Nov,Nov,1979,0
15,15-Nov,Nov,1979,0
16,16-Nov,Nov,1979,0
17,17-Nov,Nov,1979,0
18,18-Nov,Nov,1979,0
19,19-Nov,Nov,1979,0
20,20-Nov,Nov,1979,0
21,21-Nov,Nov,1979,0
22,22-Nov,Nov,1979,0
23,23-Nov,Nov,1979,0
24,24-Nov,Nov,1979,0
25,25-Nov,Nov,1979,0
26,26-Nov,Nov,1979,0
27,27-Nov,Nov,1979,0
28,28-Nov,Nov,1979,0
29,29-Nov,Nov,1979,0
30,30-Nov,Nov,1979,0
1,1-Dec,Dec,1979,6
2,2-Dec,Dec,1979,6
3,3-Dec,Dec,1979,0
4,4-Dec,Dec,1979,0
5,5-Dec,Dec,1979,0
6,6-Dec,Dec,1979,0
7,7-Dec,Dec,1979,0
8,8-Dec,Dec,1979,0
9,9-Dec,Dec,1979,0
10,10-Dec,Dec,1979,0
11,11-Dec,Dec,1979,0
12,12-Dec,Dec,1979,0
13,13-Dec,Dec,1979,3
14,14-Dec,Dec,1979,0
15,15-Dec,Dec,1979,0
16,16-Dec,Dec,1979,0
17,17-Dec,Dec,1979,0
18,18-Dec,Dec,1979,0
19,19-Dec,Dec,1979,0
20,20-Dec,Dec,1979,0
21,21-Dec,Dec,1979,0
22,22-Dec,Dec,1979,0
23,23-Dec,Dec,1979,0
24,24-Dec,Dec,1979,0
25,25-Dec,Dec,1979,0
26,26-Dec,Dec,1979,0
27,27-Dec,Dec,1979,0
28,28-Dec,Dec,1979,0
29,29-Dec,Dec,1979,0
30,30-Dec,Dec,1979,0
31,31-Dec,Dec,1979,0
1,1-Jan,Jan,1980,0
2,2-Jan,Jan,1980,0
3,3-Jan,Jan,1980,0
4,4-Jan,Jan,1980,0
5,5-Jan,Jan,1980,0
6,6-Jan,Jan,1980,0
7,7-Jan,Jan,1980,0
8,8-Jan,Jan,1980,0
9,9-Jan,Jan,1980,0
10,10-Jan,Jan,1980,0
11,11-Jan,Jan,1980,0
12,12-Jan,Jan,1980,0
13,13-Jan,Jan,1980,0
14,14-Jan,Jan,1980,0
15,15-Jan,Jan,1980,0
16,16-Jan,Jan,1980,0
17,17-Jan,Jan,1980,0
18,18-Jan,Jan,1980,0
19,19-Jan,Jan,1980,0
20,20-Jan,Jan,1980,0
21,21-Jan,Jan,1980,0
22,22-Jan,Jan,1980,0
23,23-Jan,Jan,1980,0
24,24-Jan,Jan,1980,0
25,25-Jan,Jan,1980,0
26,26-Jan,Jan,1980,0
27,27-Jan,Jan,1980,0
28,28-Jan,Jan,1980,0
29,29-Jan,Jan,1980,0
30,30-Jan,Jan,1980,0
31,31-Jan,Jan,1980,0
1,1-Feb,Feb,1980,0
2,2-Feb,Feb,1980,0
3,3-Feb,Feb,1980,0
4,4-Feb,Feb,1980,0
5,5-Feb,Feb,1980,0
6,6-Feb,Feb,1980,2
7,7-Feb,Feb,1980,0
8,8-Feb,Feb,1980,0
9,9-Feb,Feb,1980,0
10,10-Feb,Feb,1980,0
11,11-Feb,Feb,1980,0
12,12-Feb,Feb,1980,0
13,13-Feb,Feb,1980,0
14,14-Feb,Feb,1980,0
15,15-Feb,Feb,1980,0
16,16-Feb,Feb,1980,0
17,17-Feb,Feb,1980,0
18,18-Feb,Feb,1980,0
19,19-Feb,Feb,1980,0
20,20-Feb,Feb,1980,0
21,21-Feb,Feb,1980,0
22,22-Feb,Feb,1980,0
23,23-Feb,Feb,1980,0
24,24-Feb,Feb,1980,0
25,25-Feb,Feb,1980,0
26,26-Feb,Feb,1980,1
27,27-Feb,Feb,1980,0
28,28-Feb,Feb,1980,0
29,29-Feb,Feb,1980,0
1,1-Mar,Mar,1980,0
2,2-Mar,Mar,1980,0
3,3-Mar,Mar,1980,0
4,4-Mar,Mar,1980,0
5,5-Mar,Mar,1980,0
6,6-Mar,Mar,1980,0
7,7-Mar,Mar,1980,0
8,8-Mar,Mar,1980,0
9,9-Mar,Mar,1980,0
10,10-Mar,Mar,1980,0
11,11-Mar,Mar,1980,0
12,12-Mar,Mar,1980,0
13,13-Mar,Mar,1980,0
14,14-Mar,Mar,1980,0
15,15-Mar,Mar,1980,0
16,16-Mar,Mar,1980,0
17,17-Mar,Mar,1980,0
18,18-Mar,Mar,1980,0
19,19-Mar,Mar,1980,0
20,20-Mar,Mar,1980,0
21,21-Mar,Mar,1980,0
22,22-Mar,Mar,1980,0
23,23-Mar,Mar,1980,0
24,24-Mar,Mar,1980,0
25,25-Mar,Mar,1980,0
26,26-Mar,Mar,1980,0
27,27-Mar,Mar,1980,0
28,28-Mar,Mar,1980,0
29,29-Mar,Mar,1980,0
30,30-Mar,Mar,1980,0
31,31-Mar,Mar,1980,0
1,1-Apr,Apr,1980,0
2,2-Apr,Apr,1980,0
3,3-Apr,Apr,1980,0
4,4-Apr,Apr,1980,0
5,5-Apr,Apr,1980,0
6,6-Apr,Apr,1980,0
7,7-Apr,Apr,1980,0
8,8-Apr,Apr,1980,0
9,9-Apr,Apr,1980,0
10,10-Apr,Apr,1980,0
11,11-Apr,Apr,1980,0
