Day,Day_month,Month,Year,TSVALUE_UPDATED,,
11,11-Nov,Nov,1956,0,,
12,12-Nov,Nov,1956,0,,
13,13-Nov,Nov,1956,0,,
14,14-Nov,Nov,1956,0,,
15,15-Nov,Nov,1956,0,,
16,16-Nov,Nov,1956,0,,
17,17-Nov,Nov,1956,0,,
18,18-Nov,Nov,1956,0,,
19,19-Nov,Nov,1956,0,,
20,20-Nov,Nov,1956,0,,
21,21-Nov,Nov,1956,0,,
22,22-Nov,Nov,1956,0,,
23,23-Nov,Nov,1956,0,,
24,24-Nov,Nov,1956,0,,
25,25-Nov,Nov,1956,0,,
26,26-Nov,Nov,1956,0,,
27,27-Nov,Nov,1956,0,,
28,28-Nov,Nov,1956,0,,
29,29-Nov,Nov,1956,0,,
30,30-Nov,Nov,1956,0,,
01,01-Dec,Dec,1956,0,,
02,02-Dec,Dec,1956,0,,
03,03-Dec,Dec,1956,0,,
04,04-Dec,Dec,1956,0,,
05,05-Dec,Dec,1956,0,,
06,06-Dec,Dec,1956,0,,
07,07-Dec,Dec,1956,0,,
08,08-Dec,Dec,1956,0,,
09,09-Dec,Dec,1956,0,,
10,10-Dec,Dec,1956,0,,
11,11-Dec,Dec,1956,0,,
12,12-Dec,Dec,1956,0,,
13,13-Dec,Dec,1956,0,,
14,14-Dec,Dec,1956,0,,
15,15-Dec,Dec,1956,0,,
16,16-Dec,Dec,1956,0,,
17,17-Dec,Dec,1956,0,,
18,18-Dec,Dec,1956,0,,
19,19-Dec,Dec,1956,0,,
20,20-Dec,Dec,1956,0,,
21,21-Dec,Dec,1956,0,,
22,22-Dec,Dec,1956,0,,
23,23-Dec,Dec,1956,0,,
24,24-Dec,Dec,1956,0,,
25,25-Dec,Dec,1956,0,,
26,26-Dec,Dec,1956,0,,
27,27-Dec,Dec,1956,0,,
28,28-Dec,Dec,1956,0,,
29,29-Dec,Dec,1956,0,,
30,30-Dec,Dec,1956,5,,
31,31-Dec,Dec,1956,1,,
01,01-Jan,Jan,1957,0,,
02,02-Jan,Jan,1957,0,,
03,03-Jan,Jan,1957,0,,
04,04-Jan,Jan,1957,0,,
05,05-Jan,Jan,1957,0,,
06,06-Jan,Jan,1957,0,,
07,07-Jan,Jan,1957,0,,
08,08-Jan,Jan,1957,0,,
09,09-Jan,Jan,1957,0,,
10,10-Jan,Jan,1957,12,,
11,11-Jan,Jan,1957,27,,
12,12-Jan,Jan,1957,6,,
13,13-Jan,Jan,1957,0,,
14,14-Jan,Jan,1957,0,,
15,15-Jan,Jan,1957,0,,
16,16-Jan,Jan,1957,0,,
17,17-Jan,Jan,1957,0,,
18,18-Jan,Jan,1957,0,,
19,19-Jan,Jan,1957,0,,
20,20-Jan,Jan,1957,0,,
21,21-Jan,Jan,1957,0,,
22,22-Jan,Jan,1957,0,,
23,23-Jan,Jan,1957,0,,
24,24-Jan,Jan,1957,0,,
25,25-Jan,Jan,1957,0,,
26,26-Jan,Jan,1957,0,,
27,27-Jan,Jan,1957,0,,
28,28-Jan,Jan,1957,0,,
29,29-Jan,Jan,1957,0,,
30,30-Jan,Jan,1957,0,,
31,31-Jan,Jan,1957,3,,
01,01-Feb,Feb,1957,0,,
02,02-Feb,Feb,1957,0,,
03,03-Feb,Feb,1957,0,,
04,04-Feb,Feb,1957,0,,
05,05-Feb,Feb,1957,0,,
06,06-Feb,Feb,1957,0,,
07,07-Feb,Feb,1957,0,,
08,08-Feb,Feb,1957,0,,
09,09-Feb,Feb,1957,0,,
10,10-Feb,Feb,1957,1,,
11,11-Feb,Feb,1957,0,,
12,12-Feb,Feb,1957,6,,
13,13-Feb,Feb,1957,0,,
14,14-Feb,Feb,1957,0,,
15,15-Feb,Feb,1957,0,,
16,16-Feb,Feb,1957,0,,
17,17-Feb,Feb,1957,0,,
18,18-Feb,Feb,1957,0,,
19,19-Feb,Feb,1957,0,,
20,20-Feb,Feb,1957,0,,
21,21-Feb,Feb,1957,0,,
22,22-Feb,Feb,1957,0,,
23,23-Feb,Feb,1957,0,,
24,24-Feb,Feb,1957,0,,
25,25-Feb,Feb,1957,0,,
26,26-Feb,Feb,1957,0,,
27,27-Feb,Feb,1957,0,,
28,28-Feb,Feb,1957,0,,
01,01-Mar,Mar,1957,0,,
02,02-Mar,Mar,1957,0,,
03,03-Mar,Mar,1957,0,,
04,04-Mar,Mar,1957,0,,
05,05-Mar,Mar,1957,0,,
06,06-Mar,Mar,1957,6,,
07,07-Mar,Mar,1957,0,,
08,08-Mar,Mar,1957,0,,
09,09-Mar,Mar,1957,0,,
10,10-Mar,Mar,1957,0,,
11,11-Mar,Mar,1957,0,,
12,12-Mar,Mar,1957,0,,
13,13-Mar,Mar,1957,0,,
14,14-Mar,Mar,1957,0,,
15,15-Mar,Mar,1957,0,,
16,16-Mar,Mar,1957,0,,
17,17-Mar,Mar,1957,0,,
18,18-Mar,Mar,1957,0,,
19,19-Mar,Mar,1957,0,,
20,20-Mar,Mar,1957,0,,
21,21-Mar,Mar,1957,0,,
22,22-Mar,Mar,1957,0,,
23,23-Mar,Mar,1957,0,,
24,24-Mar,Mar,1957,0,,
25,25-Mar,Mar,1957,0,,
26,26-Mar,Mar,1957,0,,
27,27-Mar,Mar,1957,0,,
28,28-Mar,Mar,1957,0,,
29,29-Mar,Mar,1957,0,,
30,30-Mar,Mar,1957,2,,
31,31-Mar,Mar,1957,0,,
01,01-Apr,Apr,1957,3,,
02,02-Apr,Apr,1957,1,,
03,03-Apr,Apr,1957,0,,
04,04-Apr,Apr,1957,0,,
05,05-Apr,Apr,1957,0,,
06,06-Apr,Apr,1957,0,,
07,07-Apr,Apr,1957,0,,
08,08-Apr,Apr,1957,0,,
09,09-Apr,Apr,1957,0,,
10,10-Apr,Apr,1957,0,,
11,11-Apr,Apr,1957,0,,
12,12-Apr,Apr,1957,0,,
13,13-Apr,Apr,1957,0,,
14,14-Apr,Apr,1957,0,,
15,15-Apr,Apr,1957,0,,
16,16-Apr,Apr,1957,0,,
17,17-Apr,Apr,1957,2,,
18,18-Apr,Apr,1957,6,,
19,19-Apr,Apr,1957,0,,
20,20-Apr,Apr,1957,0,,
21,21-Apr,Apr,1957,7,,
22,22-Apr,Apr,1957,8,,
23,23-Apr,Apr,1957,3,,
24,24-Apr,Apr,1957,46,,
25,25-Apr,Apr,1957,3,,
26,26-Apr,Apr,1957,1,,
27,27-Apr,Apr,1957,19,,
28,28-Apr,Apr,1957,0,,
29,29-Apr,Apr,1957,0,,
30,30-Apr,Apr,1957,5,,
01,01-May,May,1957,0,,
02,02-May,May,1957,2,,
03,03-May,May,1957,18,,
04,04-May,May,1957,26,,
05,05-May,May,1957,23,,
06,06-May,May,1957,271,,
07,07-May,May,1957,68,,
08,08-May,May,1957,31,,
09,09-May,May,1957,9,,
10,10-May,May,1957,13,,
11,11-May,May,1957,3,,
12,12-May,May,1957,21,,
13,13-May,May,1957,15,,
14,14-May,May,1957,15,,
15,15-May,May,1957,0,,
16,16-May,May,1957,8,,
17,17-May,May,1957,0,,
18,18-May,May,1957,12,,
19,19-May,May,1957,40,,
20,20-May,May,1957,50,,
21,21-May,May,1957,1,,
22,22-May,May,1957,8,,
23,23-May,May,1957,0,,
24,24-May,May,1957,0,,
25,25-May,May,1957,0,,
26,26-May,May,1957,0,,
27,27-May,May,1957,64,,
28,28-May,May,1957,78,,
29,29-May,May,1957,55,,
30,30-May,May,1957,62,,
31,31-May,May,1957,0,,
01,01-Jun,Jun,1957,11,,
02,02-Jun,Jun,1957,1,,
03,03-Jun,Jun,1957,0,,
04,04-Jun,Jun,1957,61,,
05,05-Jun,Jun,1957,0,,
06,06-Jun,Jun,1957,11,,
07,07-Jun,Jun,1957,23,,
08,08-Jun,Jun,1957,4,,
09,09-Jun,Jun,1957,55,,
10,10-Jun,Jun,1957,0,,
11,11-Jun,Jun,1957,0,,
12,12-Jun,Jun,1957,31,,
13,13-Jun,Jun,1957,0,,
14,14-Jun,Jun,1957,27,,
