Day,Day_month,Month,Year,TSVALUE_UPDATED
5,5-Mar,Mar,1978,0
6,6-Mar,Mar,1978,0
7,7-Mar,Mar,1978,0
8,8-Mar,Mar,1978,0
9,9-Mar,Mar,1978,0
10,10-Mar,Mar,1978,0
11,11-Mar,Mar,1978,0
12,12-Mar,Mar,1978,0
13,13-Mar,Mar,1978,0
14,14-Mar,Mar,1978,0
15,15-Mar,Mar,1978,0
16,16-Mar,Mar,1978,0
17,17-Mar,Mar,1978,0
18,18-Mar,Mar,1978,0
19,19-Mar,Mar,1978,0
20,20-Mar,Mar,1978,0
21,21-Mar,Mar,1978,0
22,22-Mar,Mar,1978,0
23,23-Mar,Mar,1978,0
24,24-Mar,Mar,1978,0
25,25-Mar,Mar,1978,0
26,26-Mar,Mar,1978,0
27,27-Mar,Mar,1978,0
28,28-Mar,Mar,1978,0
29,29-Mar,Mar,1978,0
30,30-Mar,Mar,1978,0
31,31-Mar,Mar,1978,5
1,1-Apr,Apr,1978,0
2,2-Apr,Apr,1978,0
3,3-Apr,Apr,1978,0
4,4-Apr,Apr,1978,0
5,5-Apr,Apr,1978,6
6,6-Apr,Apr,1978,0
7,7-Apr,Apr,1978,0
8,8-Apr,Apr,1978,0
9,9-Apr,Apr,1978,0
10,10-Apr,Apr,1978,0
11,11-Apr,Apr,1978,0
12,12-Apr,Apr,1978,0
13,13-Apr,Apr,1978,0
14,14-Apr,Apr,1978,8
15,15-Apr,Apr,1978,32
16,16-Apr,Apr,1978,20
17,17-Apr,Apr,1978,0
18,18-Apr,Apr,1978,7
19,19-Apr,Apr,1978,47
20,20-Apr,Apr,1978,0
21,21-Apr,Apr,1978,0
22,22-Apr,Apr,1978,0
23,23-Apr,Apr,1978,0
24,24-Apr,Apr,1978,0
25,25-Apr,Apr,1978,0
26,26-Apr,Apr,1978,0
27,27-Apr,Apr,1978,0
28,28-Apr,Apr,1978,0
29,29-Apr,Apr,1978,0
30,30-Apr,Apr,1978,0
1,1-May,May,1978,0
2,2-May,May,1978,0
3,3-May,May,1978,0
4,4-May,May,1978,0
5,5-May,May,1978,0
6,6-May,May,1978,90
7,7-May,May,1978,49
8,8-May,May,1978,54
9,9-May,May,1978,0
10,10-May,May,1978,11
11,11-May,May,1978,50
12,12-May,May,1978,33
13,13-May,May,1978,37
14,14-May,May,1978,78
15,15-May,May,1978,0
16,16-May,May,1978,0
17,17-May,May,1978,26
18,18-May,May,1978,2
19,19-May,May,1978,39
20,20-May,May,1978,3
21,21-May,May,1978,0
22,22-May,May,1978,66
23,23-May,May,1978,79
24,24-May,May,1978,41
25,25-May,May,1978,21
26,26-May,May,1978,0
27,27-May,May,1978,24
28,28-May,May,1978,23
29,29-May,May,1978,2
30,30-May,May,1978,0
31,31-May,May,1978,27
1,1-Jun,Jun,1978,230
2,2-Jun,Jun,1978,68
3,3-Jun,Jun,1978,0
4,4-Jun,Jun,1978,0
5,5-Jun,Jun,1978,0
6,6-Jun,Jun,1978,33
7,7-Jun,Jun,1978,18
8,8-Jun,Jun,1978,0
9,9-Jun,Jun,1978,48
10,10-Jun,Jun,1978,77
11,11-Jun,Jun,1978,0
12,12-Jun,Jun,1978,0
13,13-Jun,Jun,1978,7
14,14-Jun,Jun,1978,0
15,15-Jun,Jun,1978,0
16,16-Jun,Jun,1978,0
17,17-Jun,Jun,1978,0
18,18-Jun,Jun,1978,2
19,19-Jun,Jun,1978,0
20,20-Jun,Jun,1978,1
21,21-Jun,Jun,1978,0
22,22-Jun,Jun,1978,0
23,23-Jun,Jun,1978,8
24,24-Jun,Jun,1978,93
25,25-Jun,Jun,1978,101
26,26-Jun,Jun,1978,116
27,27-Jun,Jun,1978,2
28,28-Jun,Jun,1978,0
29,29-Jun,Jun,1978,0
30,30-Jun,Jun,1978,3
1,1-Jul,Jul,1978,0
2,2-Jul,Jul,1978,0
3,3-Jul,Jul,1978,0
4,4-Jul,Jul,1978,0
5,5-Jul,Jul,1978,10
6,6-Jul,Jul,1978,17
7,7-Jul,Jul,1978,23
8,8-Jul,Jul,1978,0
9,9-Jul,Jul,1978,0
10,10-Jul,Jul,1978,0
11,11-Jul,Jul,1978,28
12,12-Jul,Jul,1978,17
13,13-Jul,Jul,1978,0
14,14-Jul,Jul,1978,0
15,15-Jul,Jul,1978,83
16,16-Jul,Jul,1978,48
17,17-Jul,Jul,1978,172
18,18-Jul,Jul,1978,85
19,19-Jul,Jul,1978,27
20,20-Jul,Jul,1978,32
21,21-Jul,Jul,1978,17
22,22-Jul,Jul,1978,80
23,23-Jul,Jul,1978,33
24,24-Jul,Jul,1978,1
25,25-Jul,Jul,1978,0
26,26-Jul,Jul,1978,133
27,27-Jul,Jul,1978,1
28,28-Jul,Jul,1978,36
29,29-Jul,Jul,1978,5
30,30-Jul,Jul,1978,0
31,31-Jul,Jul,1978,0
1,1-Aug,Aug,1978,32
2,2-Aug,Aug,1978,2
3,3-Aug,Aug,1978,0
4,4-Aug,Aug,1978,4
5,5-Aug,Aug,1978,2
6,6-Aug,Aug,1978,44
7,7-Aug,Aug,1978,24
8,8-Aug,Aug,1978,0
9,9-Aug,Aug,1978,16
10,10-Aug,Aug,1978,0
11,11-Aug,Aug,1978,0
12,12-Aug,Aug,1978,8
13,13-Aug,Aug,1978,0
14,14-Aug,Aug,1978,19
15,15-Aug,Aug,1978,19
16,16-Aug,Aug,1978,2
17,17-Aug,Aug,1978,0
18,18-Aug,Aug,1978,0
19,19-Aug,Aug,1978,0
20,20-Aug,Aug,1978,7
21,21-Aug,Aug,1978,0
22,22-Aug,Aug,1978,26
23,23-Aug,Aug,1978,0
24,24-Aug,Aug,1978,0
25,25-Aug,Aug,1978,0
26,26-Aug,Aug,1978,6
27,27-Aug,Aug,1978,0
28,28-Aug,Aug,1978,2
29,29-Aug,Aug,1978,0
30,30-Aug,Aug,1978,144
31,31-Aug,Aug,1978,196
1,1-Sep,Sep,1978,58
2,2-Sep,Sep,1978,15
3,3-Sep,Sep,1978,5
4,4-Sep,Sep,1978,4
5,5-Sep,Sep,1978,89
6,6-Sep,Sep,1978,12
7,7-Sep,Sep,1978,0
8,8-Sep,Sep,1978,15
9,9-Sep,Sep,1978,63
10,10-Sep,Sep,1978,4
11,11-Sep,Sep,1978,8
12,12-Sep,Sep,1978,0
13,13-Sep,Sep,1978,0
14,14-Sep,Sep,1978,0
15,15-Sep,Sep,1978,1
16,16-Sep,Sep,1978,2
17,17-Sep,Sep,1978,0
18,18-Sep,Sep,1978,2
19,19-Sep,Sep,1978,3
20,20-Sep,Sep,1978,33
21,21-Sep,Sep,1978,0
22,22-Sep,Sep,1978,0
23,23-Sep,Sep,1978,0
24,24-Sep,Sep,1978,107
25,25-Sep,Sep,1978,211
26,26-Sep,Sep,1978,11
27,27-Sep,Sep,1978,0
28,28-Sep,Sep,1978,0
29,29-Sep,Sep,1978,0
30,30-Sep,Sep,1978,2
1,1-Oct,Oct,1978,0
2,2-Oct,Oct,1978,2
3,3-Oct,Oct,1978,11
4,4-Oct,Oct,1978,0
5,5-Oct,Oct,1978,0
6,6-Oct,Oct,1978,0
7,7-Oct,Oct,1978,0
8,8-Oct,Oct,1978,9
9,9-Oct,Oct,1978,7
10,10-Oct,Oct,1978,14
11,11-Oct,Oct,1978,0
12,12-Oct,Oct,1978,0
13,13-Oct,Oct,1978,0
14,14-Oct,Oct,1978,0
15,15-Oct,Oct,1978,0
16,16-Oct,Oct,1978,5
17,17-Oct,Oct,1978,18
